filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs,num_pairs,rmsd,maxsub,tm,msi,filename_experimental,L_experiment,L_prediction,L_joint,L_normalization
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_3_hMIN.pdb,131,47.0,20,10.600000000000001,0.3577639751552795,57,59,37,59,42,19,1,54,1,50,32,1.317,0.415,0.529,0.415,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_6_hMIN.pdb,131,45.00000000000001,27,12.0,0.3540372670807454,57,59,37,59,42,19,1,54,1,50,34,1.659,0.401,0.502,0.401,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_428_8_hMIN.pdb,131,47.4,29,10.200000000000001,0.3577639751552795,57,59,37,59,42,19,1,54,1,50,32,1.632,0.381,0.47700000000000004,0.381,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_1_hMIN.pdb,131,63.8,25,12.799999999999999,0.4757763975155279,57,59,37,59,42,19,1,54,1,50,30,1.6230000000000002,0.358,0.474,0.358,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_8_hMIN.pdb,131,37.20000000000001,26,12.600000000000001,0.30931677018633547,57,59,37,59,42,19,1,54,1,50,30,1.6019999999999999,0.36,0.466,0.36,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_10_hMIN.pdb,131,36.8,26,9.8,0.2894409937888198,57,59,37,59,42,19,1,54,1,50,28,1.514,0.344,0.46299999999999997,0.344,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_362_8_hMIN.pdb,131,61.6,19,4.2,0.408695652173913,57,59,37,59,46,14,1,54,1,50,30,1.5919999999999999,0.361,0.45399999999999996,0.361,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_164_10_hMIN.pdb,131,47.2,12,5.200000000000001,0.3254658385093168,36,1,38,2,37,2,0,59,0,55,27,1.179,0.368,0.452,0.368,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_428_4_hMIN.pdb,131,59.80000000000001,26,8.799999999999999,0.42608695652173917,57,59,37,59,42,19,1,54,1,50,30,1.703,0.34700000000000003,0.452,0.34700000000000003,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_362_5_hMIN.pdb,131,43.199999999999996,30,7.6,0.31552795031055897,57,59,37,59,42,19,1,54,1,50,28,1.5519999999999998,0.33899999999999997,0.449,0.33899999999999997,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2kej_B_38.pdb,62,327,59,59
