filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs,num_pairs,rmsd,maxsub,tm,msi,filename_experimental,L_experiment,L_prediction,L_joint,L_normalization
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_6_hMIN.pdb,131,46.6,28,13.2,0.3714285714285714,57,59,37,59,48,19,1,54,3,8,237,3.514,0.68,0.726,0.68,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_9_hMIN.pdb,131,55.4,27,11.4,0.41490683229813663,57,59,37,59,48,19,1,54,3,8,226,3.4,0.6579999999999999,0.716,0.6579999999999999,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_1_hMIN.pdb,131,52.0,26,7.800000000000001,0.3714285714285714,57,59,37,59,48,19,1,54,3,8,225,3.528,0.644,0.705,0.644,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_1_hMIN.pdb,131,43.2,27,12.0,0.34285714285714286,57,59,37,59,48,19,1,54,1,50,229,3.7089999999999996,0.6409999999999999,0.6970000000000001,0.6409999999999999,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_4_hMIN.pdb,131,41.00000000000001,30,15.399999999999999,0.3503105590062112,57,59,37,59,48,19,1,54,1,50,219,3.509,0.626,0.6970000000000001,0.626,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_10_hMIN.pdb,131,46.6,28,10.4,0.35403726708074534,57,59,37,59,48,19,1,54,1,50,215,3.495,0.618,0.691,0.618,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_3_hMIN.pdb,131,52.8,28,12.6,0.4062111801242235,57,59,37,59,48,19,1,54,1,50,215,3.503,0.614,0.6890000000000001,0.614,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_8_hMIN.pdb,131,48.2,27,14.4,0.38881987577639754,57,59,37,59,48,19,1,54,1,50,226,3.7680000000000002,0.624,0.6859999999999999,0.624,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_7_hMIN.pdb,131,48.800000000000004,24,6.6000000000000005,0.3440993788819876,57,59,37,59,48,19,1,54,1,50,221,3.681,0.618,0.685,0.618,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_2_hMIN.pdb,131,56.400000000000006,30,14.0,0.43726708074534165,57,59,37,59,48,19,1,54,1,50,223,3.763,0.617,0.68,0.617,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_B_42.pdb,269,327,269,269
