filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs,num_pairs,rmsd,maxsub,tm,msi,filename_experimental,L_experiment,L_prediction,L_joint,L_normalization
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_6_hMIN.pdb,131,46.6,28,13.2,0.3714285714285714,57,59,37,59,48,19,1,54,3,8,245,3.6489999999999996,0.5870000000000001,0.632,0.5870000000000001,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_1_hMIN.pdb,131,52.0,26,7.800000000000001,0.3714285714285714,57,59,37,59,48,19,1,54,3,8,234,3.5869999999999997,0.5660000000000001,0.625,0.5660000000000001,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_9_hMIN.pdb,131,55.4,27,11.4,0.41490683229813663,57,59,37,59,48,19,1,54,3,8,235,3.563,0.569,0.624,0.569,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_1_hMIN.pdb,131,43.2,27,12.0,0.34285714285714286,57,59,37,59,48,19,1,54,1,50,242,3.907,0.563,0.613,0.563,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_4_hMIN.pdb,131,41.00000000000001,30,15.399999999999999,0.3503105590062112,57,59,37,59,48,19,1,54,1,50,232,3.813,0.544,0.608,0.544,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_3_hMIN.pdb,131,52.8,28,12.6,0.4062111801242235,57,59,37,59,48,19,1,54,1,50,226,3.7310000000000003,0.536,0.606,0.536,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_5_hMIN.pdb,131,59.00000000000001,25,11.8,0.43975155279503114,57,59,37,59,42,19,1,54,1,50,218,3.745,0.517,0.605,0.517,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_1_hMIN.pdb,131,63.8,25,12.799999999999999,0.4757763975155279,57,59,37,59,42,19,1,54,1,50,217,3.717,0.517,0.604,0.517,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_8_hMIN.pdb,131,48.2,27,14.4,0.38881987577639754,57,59,37,59,48,19,1,54,1,50,244,4.045,0.556,0.604,0.556,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_7_hMIN.pdb,131,48.800000000000004,24,6.6000000000000005,0.3440993788819876,57,59,37,59,48,19,1,54,1,50,238,3.972,0.547,0.602,0.547,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_10_hMIN.pdb,131,46.6,28,10.4,0.35403726708074534,57,59,37,59,48,19,1,54,1,50,230,3.826,0.54,0.599,0.54,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_2_hMIN.pdb,131,56.400000000000006,30,14.0,0.43726708074534165,57,59,37,59,48,19,1,54,1,50,240,3.988,0.551,0.598,0.551,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_5_hMIN.pdb,131,41.2,21,6.8,0.2981366459627329,57,59,37,59,48,19,0,59,3,8,225,3.855,0.528,0.596,0.528,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_428_2_hMIN.pdb,131,55.2,24,8.4,0.39503105590062115,57,59,37,59,42,19,1,54,1,50,223,4.015,0.513,0.5920000000000001,0.513,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_3_hMIN.pdb,131,54.599999999999994,25,12.200000000000001,0.41490683229813663,57,59,37,59,48,19,0,59,3,8,222,3.807,0.523,0.591,0.523,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_428_1_hMIN.pdb,131,48.2,24,9.799999999999999,0.36024844720496896,57,59,37,59,42,19,1,54,1,50,217,3.7439999999999998,0.514,0.59,0.514,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_428_4_hMIN.pdb,131,59.80000000000001,26,8.799999999999999,0.42608695652173917,57,59,37,59,42,19,1,54,1,50,208,3.8360000000000003,0.48700000000000004,0.589,0.48700000000000004,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_2_hMIN.pdb,131,68.8,22,9.6,0.4869565217391304,57,59,37,59,42,19,1,54,1,50,223,4.0889999999999995,0.508,0.588,0.508,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_10_hMIN.pdb,131,49.99999999999999,28,11.400000000000002,0.3813664596273291,57,59,37,59,48,19,1,54,1,50,223,3.8560000000000003,0.52,0.586,0.52,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2pe5_A_45.pdb,328,327,326,326
